Time,Active PDP contexts,Active EPS bearers,PDP creations, Failed,EPS bearer creations, Failed.3,PDP updates, Failed.7,EPS bearer modifications, Failed.8,PDP deactivations, Failed.9,Packets,Bytes,Dropped packets,Packets.1,Bytes.1,Dropped packets.1,Active subscribers,Failed RADIUS Accounting procedures,Total successful DT establishments,Total requests for DT establishments,DT RNC error indications,pdp_success_rate,pdp_failure_rate,eps_success_rate,eps_failure_rate,update_failure_rate,modification_failure_rate,deactivation_failure_rate,total_traffic,total_packets,total_dropped_packets,packet_drop_rate,avg_packet_size,traffic_per_subscriber,pdp_per_subscriber,eps_per_subscriber,dt_success_rate,dt_error_rate,radius_failure_rate
2026-06-11 15:33:01,39906,645653,135109321,166301842,1285581076,1316614164,2824158368,1210176,21117581604,77227,185998479,5053223,19357999112993,5271972806278064,655052390845,43280331138347,48133624661157851,3670223763223,681672,122531677,1046860948,1046898059,682945,0.4482558630384901,0.5517441369615099,0.4940371330477109,0.5059628669522891,0.0004283250065093101,3.6569868193264592e-06,0.026449505275802254,53405597467435915,62638330251340,4325276154068,0.06905158768939999,852.6025079714417,78345006788.36143,0.05854135126571137,0.9471608046098416,0.9999645514673745,0.0006523510041200678,179.75166502364775
2026-06-11 15:48:01,39454,645870,135121328,166320580,1285692194,1316723254,2824494829,1210290,21120143001,77228,186017168,5053767,19360954713319,5272740500961399,655114747800,43286934662779,48141006238033352,3670814372888,681445,122542810,1046988206,1047025319,683042,0.44824997591244015,0.5517500240875598,0.4940380272442957,0.5059619727557043,0.0004283143318324434,3.656590658745067e-06,0.02644969000648895,53413746738994751,62647889376098,4325929120688,0.069051474259857,852.6024942090652,78383063547.30719,0.05789755592894511,0.9477947596651234,0.9999645538657695,0.0006523643579625795,179.82788045990506
2026-06-11 16:03:01,39717,646290,135134477,166339450,1285804322,1316832152,2824835964,1210403,21122737898,77230,186037316,5054353,19363899773697,5273518534508630,655195106651,43293508371198,48148347085663232,3671398378757,682103,122553533,1047117557,1047154673,683143,0.4482459838060888,0.5517540161939112,0.4940391540827995,0.5059608459172005,0.00042830259762684214,3.656236137655032e-06,0.02644988672949421,53421865620171862,62657408144895,4326593485408,0.06905158725050947,852.6025445647866,78319352971.87062,0.058227276525686,0.9474961992543648,0.9999645553794898,0.0006523802238716648,179.67012753205893
2026-06-11 16:18:01,39630,648673,135146478,166358094,1285919814,1316941432,2825183393,1210519,21125407094,77230,186056450,5055010,19366802120736,5274287047258792,655272728656,43299927432599,48155501823704052,3671973092187,684277,122564170,1047248721,1047285845,683230,0.4482402276805275,0.5517597723194725,0.4940408621382194,0.5059591378617806,0.000428290973477019,3.655774173767056e-06,0.02645058543323357,53429788870962844,62666729553335,4327245820843,0.06905172571930894,852.6021583029845,78082105449.93161,0.05791514255191976,0.947968439681591,0.9999645521801166,0.000652381585468674,179.11484676527195
2026-06-11 16:33:02,40519,647501,135158534,166377096,1286031039,1317051374,2825538628,1210645,21128055376,77232,186075775,5055676,19369613664563,5275042542491868,655341911822,43306182222966,48162474147988077,3672527996126,684099,122574974,1047382121,1047419247,683303,0.4482340411977185,0.5517659588022815,0.49404161488605164,0.5059583851139484,0.0004282817056198107,3.6554106050412005e-06,0.026451303401657324,53437516690479945,62675795887529,4327869907948,0.06905169446454758,852.602123894413,78113718468.35027,0.05922973136929012,0.9465018951935319,0.9999645547853867,0.0006523681915881388,179.1772448139816
2026-06-11 16:48:01,41144,648370,135170760,166395765,1286142652,1317160635,2825907420,1210757,21130774657,77232,186095952,5056359,19372436649278,5275808450277268,655419347131,43312441696159,48169441971753983,3673084801411,685537,122585669,1047519108,1047556245,683404,0.44822866198428357,0.5517713380157164,0.49404257215152514,0.5059574278484749,0.0004282654364610949,3.6549401986109393e-06,0.02645198990034706,53445250422031251,62684878345437,4328504148542,0.06905180743414625,852.6019645042778,77961146403.52199,0.060017183609345666,0.9457841079329051,0.9999645489202348,0.0006523792906222424,178.81699893660007
2026-06-11 17:03:01,41469,648928,135183171,166414847,1286253690,1317270572,2826284659,1210872,21133563786,77233,186116595,5057039,19375274238917,5276574700864282,655479517831,43318732355379,48176434924182127,3673645743695,686411,122596539,1047659262,1047696406,683506,0.4482230085477551,0.5517769914522449,0.4940432892343832,0.5059567107656169,0.00042824895273017497,3.654505152735603e-06,0.02645259649141785,53453009625046409,62694006594296,4329125261526,0.06905166054453235,852.6015887124631,77873183304.2396,0.06041424161326086,0.9453927748826869,0.9999645469815613,0.0006523893716592553,178.60514910163153
2026-06-11 17:18:03,42085,649512,135195739,166433591,1286365138,1317380227,2826675223,1211003,21136457314,77236,186137623,5057773,19378092260458,5277345448036010,655537046068,43324974505465,48183362988108859,3674190910656,687716,122608377,1047804237,1047841394,683588,0.44821814576188596,0.5517818542381141,0.49404413937382086,0.5059558606261791,0.00042823611108037555,3.654146795790609e-06,0.02645342464208709,53460708436144869,62703066765923,4329727956724,0.06905129493725275,852.6011755648125,77736607024.04027,0.06119531899795846,0.9444479988832599,0.9999645394806764,0.000652377357789322,178.28344403794588
2026-06-11 17:33:01,42215,651144,135208028,166452318,1286473913,1317489571,2827062532,1211116,21139357051,77238,186158451,5058513,19380868473609,5278111641409150,655593848403,43331147113013,48190205042994052,3674722733021,689506,122619863,1047947140,1047984303,683662,0.44821279890728494,0.5517872010927151,0.4940445290053845,0.5059554709946156,0.0004282174042304693,3.6537401589876574e-06,0.02645431082150222,53468316684403202,62712015586622,4330316581424,0.06905082767500399,852.6008323006173,77545832355.92323,0.06122499296597854,0.9443630657311176,0.9999645385909945,0.0006523590077092978,177.83726755097126
2026-06-11 17:48:01,42263,651495,135220439,166471308,1286583377,1317599768,2827448243,1211225,21142257296,77238,186179194,5059271,19383636693090,5278877163225094,655652242852,43337277245953,48196996757751542,3675248769355,689934,122631229,1048089481,1048126652,683736,0.44820728556422856,0.5517927144357714,0.4940448906100266,0.5059551093899735,0.0004281975309160827,3.653238949359631e-06,0.026455300192876993,53475873920976636,62720913939043,4330901012207,0.06905034924102194,852.6003618657184,77508680425.91992,0.06125658396310372,0.9442859751802346,0.9999645357744419,0.000652341011170089,177.74342038513828
