Time,sgwGtpTunnelMgmtS4S11-smCreateSessionReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespAccSent__delta,sgwGtpTunnelMgmtS4S11-smCreateSessionRespRejSent__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerReqRcvd__delta,sgwGtpTunnelMgmtS4S11-smModifyBearerRespRejSent__delta,sgwGtpTrafficS5S8-inDataByte,sgwGtpTrafficS5S8-outDataByte,sgwGtpTrafficS1uS4S12-inDataByte,sgwGtpTrafficS1uS4S12-outDataByte,sgwUplinkTraffic-sgwUplinkDroppedPackets__delta,sgwDownlinkTraffic-sgwDownlinkDroppedPackets__delta,sgwGtpTrafficS5S8-inDataPkt,sgwGtpTrafficS5S8-outDataPkt,sgwGtpTrafficS1uS4S12-inDataPkt,sgwGtpTrafficS1uS4S12-outDataPkt,session_success_rate,session_failure_rate,bearer_modification_failure_rate,total_traffic,packet_drop_rate,suspended_ue_ratio,idle_bearer_ratio,connected_ue_ratio
2026-06-02 17:18:01,398127.0,313687.0,84260.0,6327587.0,117.0,43188447714116060,5055182843701538,5055182843644485,43182300275572003,2319.0,1733859.0,38700381576365,17889787166211,17889787166031,38690421683734,0.787906873937211,0.21164100902475844,1.8490460897653404e-05,96481113677034086,1.5341276020603283e-08,0.0001571943104816556,0.7985274228538406,0.20050668457359136
2026-06-02 17:33:01,395811.0,311110.0,84556.0,6374375.0,136.0,43195856195668786,5055950545465457,5055950545423808,43189707732112875,2060.0,1745918.0,38706869718621,17892271730871,17892271730666,38696908080523,0.7860064525745873,0.21362721096685033,2.1335425041670752e-05,96497465018670926,1.544309501661641e-08,0.0001722595112403142,0.8001260081406698,0.19889113656215748
2026-06-02 17:48:01,395584.0,309662.0,85749.0,6311558.0,145.0,43203170835047236,5056705866220026,5056705866195246,43197021352052757,1137.0,1725395.0,38713280867586,17894724667287,17894724667173,38703317505525,0.7827970797605566,0.21676559213719462,2.297372534642001e-05,96513603919515265,1.525123467307951e-08,0.0001749555004487989,0.8012843419745213,0.1979081407555035
2026-06-02 18:03:02,396707.0,311403.0,85132.0,6406556.0,134.0,43210484433965145,5057464798944403,5057464798897275,43204333929591188,1143.0,1753828.0,38719703182381,17897183433514,17897183433323,38709738067335,0.7849697635786613,0.2145966670615845,2.0916074096597298e-05,96529747961398011,1.550001743620411e-08,0.00017775184930289372,0.8014897977314238,0.19765094094536637
2026-06-02 18:18:01,398297.0,313979.0,84126.0,6393435.0,114.0,43217793069047160,5058238085063703,5058238085022642,43211641513989548,887.0,1820508.0,38726126069150,17899675921345,17899675921197,38716159132137,0.7883037030155888,0.21121424464658284,1.7830790490557893e-05,96545910753123053,1.6084145792550207e-08,0.00016687753919346568,0.8009202108064625,0.19825355069891348
2026-06-02 18:33:01,393706.0,309265.0,84271.0,6354081.0,117.0,43225031791678117,5059016223204227,5059016223190095,43218879203192116,1407.0,1795397.0,38732495335926,17902163254223,17902163254129,38722526604502,0.7855226996794562,0.21404550603750006,1.841336300245464e-05,96561943441264555,1.5864509416744352e-08,0.00016095846208744903,0.8018043913377176,0.19734722232767196
2026-06-02 18:48:01,393356.0,305965.0,87223.0,6333264.0,119.0,43232264927827074,5059809887999600,5059809887937894,43226111324996891,996.0,1751067.0,38738873139869,17904667474566,17904667474402,38728902658229,0.7778322944101527,0.221740611557978,1.8789679381753233e-05,96577996028761459,1.546705233250646e-08,0.00018669402821963718,0.8012309228763046,0.19792906234062704
2026-06-02 19:03:01,396270.0,307217.0,88850.0,6361752.0,134.0,43239558877196771,5060605752739991,5060605752679475,43233404192575676,1315.0,1862775.0,38745308496602,17907197403205,17907197403066,38735336152640,0.7752719105660282,0.22421581245110656,2.1063380024873652e-05,96594174575191913,1.6453412337898192e-08,0.0001654669051009348,0.7991302176411479,0.20009958375206074
2026-06-02 19:18:01,392858.0,306322.0,86372.0,6399245.0,112.0,43246861765207765,5061414276457858,5061414276425601,43240706033883877,1232.0,1778106.0,38751763818528,17909743199608,17909743199456,38741789696422,0.779727026050125,0.2198555203152284,1.7502064696694687e-05,96610396351975101,1.5702852922754746e-08,0.00017281420350843152,0.80069373296839,0.1985771630577806
2026-06-02 19:33:01,386942.0,301999.0,84779.0,6388030.0,135.0,43254156975839045,5062218306979240,5062218306940520,43248000243203092,879.0,1729699.0,38758208603832,17912313430887,17912313430718,38748232752764,0.7804761437114607,0.21910002015805988,2.1133275829950703e-05,96626593832961897,1.5270111075526496e-08,0.00016528574721288804,0.7984003919370376,0.20085099414069607
2026-06-02 19:48:01,378912.0,296025.0,82728.0,6439491.0,119.0,43261265396699195,5063023726099544,5063023726058339,43255107644687365,2006.0,1763009.0,38764504613989,17914851601619,17914851601438,38754527001381,0.78125,0.21833037750190018,1.847972145624553e-05,96642420493544443,1.557154566239643e-08,0.00012295548556032028,0.8028289343063937,0.19643884482562332
2026-06-02 20:03:01,385361.0,303337.0,81840.0,6275183.0,126.0,43268486458847432,5063831733652992,5063831733618825,43262327718576660,1340.0,1730783.0,38770898967834,17917417438258,17917417438128,38760919622934,0.7871502305630305,0.21237229506877967,2.0079095701272775e-05,96658477644695909,1.5278946207068308e-08,0.00015814796566972623,0.7946743654111003,0.20455831097972665
2026-06-02 20:18:04,398395.0,315314.0,82881.0,6390428.0,128.0,43276200493453056,5064676898633661,5064676898569010,43270040662696030,2281.0,1907593.0,38777744101296,17920187136361,17920187136102,38767762849641,0.7914607362040186,0.20803724946347218,2.0029957304894133e-05,96675594953351757,1.684401954981543e-08,0.00015024836510049187,0.7921091971136638,0.20707867095456278
2026-06-02 20:33:01,383411.0,302457.0,80791.0,6237095.0,118.0,43284123090482069,5065547452189755,5065547452125961,43277962095195604,1815.0,1961828.0,38784775177802,17923045569300,17923045569086,38774791965385,0.7888584312917469,0.21071643745223795,1.8919064083519652e-05,96693180089993389,1.7315211866452942e-08,0.000186365895344186,0.7870551075188106,0.2121434805270367
2026-06-02 20:48:01,376958.0,294916.0,81859.0,6357901.0,138.0,43292415984418953,5066440585633148,5066440585596307,43286253880601100,3125.0,1925864.0,38792145812229,17926023899678,17926023899497,38782160673802,0.78235771624425,0.21715681853150748,2.1705276631391398e-05,96711551036249508,1.7006532671848334e-08,0.00017050375560927178,0.7835771803451235,0.21566914425221279
2026-06-02 21:03:01,371020.0,288294.0,82560.0,6314873.0,130.0,43300921205644174,5067361036961739,5067361036908578,43294758058292456,1501.0,1870751.0,38799709665547,17929094119911,17929094119752,38789722656453,0.7770308878227589,0.222521696943561,2.0586320580002163e-05,96730401337806947,1.650322845671639e-08,0.00016359242972279338,0.7790824596624284,0.22010986207207073
2026-06-02 21:18:01,368909.0,283530.0,85181.0,6416702.0,106.0,43309645348068031,5068284988873547,5068284988844023,43303481102072053,1433.0,1935050.0,38807477238348,17932246647983,17932246647825,38797488296143,0.7685635210851457,0.23089976118771838,1.65193895555692e-05,96749696427857654,1.7066116468362973e-08,0.0001782859676957812,0.7784694854496471,0.22074050102851528
2026-06-02 21:33:01,356574.0,269319.0,87019.0,6377408.0,108.0,43318331633797932,5069209426104322,5069209426060130,43312166323752597,1886.0,1849249.0,38815207565292,17935417103535,17935417103366,38805216774987,0.755296235844453,0.24404190995417502,1.693477977259727e-05,96768916809714981,1.6310815684808496e-08,0.00012578239645413434,0.7825976657829656,0.2165224162199395
2026-06-02 21:48:01,342505.0,257471.0,84830.0,6207855.0,107.0,43327117809088000,5070146762337152,5070146762280040,43320951388046315,2005.0,1847456.0,38823002851939,17938581463216,17938581463025,38813010214403,0.7517291718369075,0.24767521642019824,1.723622732811897e-05,96788362721751507,1.6292919159629933e-08,0.00014702528834959614,0.7796834380959318,0.2195852686662106
2026-06-02 22:03:01,351806.0,266490.0,85114.0,6223339.0,97.0,43336327802258858,5071098290602590,5071098290561318,43330160295665789,2281.0,1793711.0,38831161231086,17941884528997,17941884528804,38821166799998,0.7574913446615464,0.24193447525056422,1.5586488217980735e-05,96808684679088555,1.5818687149285713e-08,0.00015864606063871502,0.7738788619284583,0.22538366903438428
2026-06-02 22:18:01,344342.0,258545.0,85617.0,6283829.0,125.0,43345873071918352,5072059470958524,5072059470894724,43339704513475541,1863.0,1723844.0,38839606445735,17945211620064,17945211619846,38829610292239,0.7508378298319693,0.24863943405103067,1.989232997906213e-05,96829696527247141,1.519648178116878e-08,0.00013437227989447298,0.7736127853746201,0.22572751391872867
2026-06-02 22:33:01,322018.0,238985.0,82920.0,6083526.0,116.0,43355362290865850,5073002032567629,5073002032503201,43349192689435505,1283.0,1716284.0,38847985194074,17948476195301,17948476195042,38837987324995,0.742147954462173,0.2575011334770106,1.906788924712412e-05,96850559045372185,1.512170074304606e-08,9.999776124415125e-05,0.7721774074315014,0.227045663156795
2026-06-02 22:48:01,309909.0,227898.0,81853.0,5998251.0,91.0,43364946603254769,5073946785329010,5073946785274084,43358775974382437,2086.0,1645713.0,38856427453571,17951760197148,17951760196937,38846427940271,0.7353707055942228,0.2641194673275058,1.5171089039121571e-05,96871616148240300,1.450445882611381e-08,0.00011645806240659092,0.7777176300411321,0.22152712353065013
2026-06-02 23:03:02,297960.0,217884.0,79927.0,5783639.0,91.0,43374415866653705,5074863559094701,5074863559068706,43368244237946872,1607.0,1578210.0,38864736037122,17954956792848,17954956792638,38854734947252,0.7312525171163915,0.26824741576050476,1.573403872544604e-05,96892387222763984,1.390324347861551e-08,9.900544529949147e-05,0.7826563171090196,0.21667941736795523
